DATA_REQUEST_ID	CONCEPT_PATH	ENCODING_REQD	PARAMETERS	IS_VALID
20	\BIRN\oasis\Images\Atlas Registered\Coronal\	SN		null
20	\BIRN\oasis\Images\Averaged Images\Sagittal\	LN	age:50	null
21	\BIRN\oasis\Images\Atlas Registered\Coronal\	LN	age:90	null
21	\BIRN\oasis\Images\Averaged Images\Sagittal\	SN	age:80	null
52	\BIRN\oasis\Images\Averaged Images\Sagittal\	SN	null	null
22	\BIRN\oasis\Images\Atlas Registered\Coronal\	LN	ag:70	null
22	\BIRN\oasis\Images\Averaged Images\Sagittal\	SN	ag:50	null
23	\BIRN\oasis\Images\Averaged Images\Sagittal\	SN	age:50;	null
23	\BIRN\oasis\Images\Atlas Registered\Coronal\	LN	age:70	null
24	\BIRN\oasis\Images\Atlas Registered\Coronal\	LN	ag:50	null
24	\BIRN\oasis\Images\Averaged Images\Sagittal\	SN	ag:70	null
25	\BIRN\oasis\Images\Averaged Images\Sagittal\	SN	age:50	null
25	\BIRN\oasis\Images\Atlas Registered\Coronal\	LN	age:55;gender:female	null
26	\BIRN\oasis\Images\Atlas Registered\Coronal\	LN	ag:50	null
26	\BIRN\oasis\Images\Averaged Images\Sagittal\	SN	ag:50	null
27	\BIRN\oasis\Images\Atlas Registered\Coronal\	LN	123	null
27	\BIRN\oasis\Images\Averaged Images\Sagittal\	SN	123	null
28	\BIRN\oasis\Images\Atlas Registered\Coronal\	LN	123	null
28	\BIRN\oasis\Images\Averaged Images\Sagittal\	SN	123	null
29	\BIRN\oasis\Images\Atlas Registered\Coronal\	LN	123	null
29	\BIRN\oasis\Images\Averaged Images\Sagittal\	SN	123	null
30	\BIRN\oasis\Images\Atlas Registered\Coronal\	null	123	null
30	\BIRN\oasis\Images\Averaged Images\Sagittal\	null	123	null
31	\BIRN\oasis\Images\Atlas Registered\Coronal\	LN	123	null
31	\BIRN\oasis\Images\Averaged Images\Sagittal\	SN	123	null
32	\BIRN\oasis\Images\Averaged Images\Sagittal\	SN	123	null
32	\BIRN\oasis\Images\Atlas Registered\Coronal\	LN	123	null
33	\BIRN\oasis\Images\Atlas Registered\Coronal\	SN	123	null
33	\BIRN\oasis\Images\Averaged Images\Sagittal\	SN	456	null
34	\BIRN\oasis\Clinical Measures\MMSE score\No Alzheimers disease\30\	null	age:50;genden:male	null
35	\BIRN\oasis\Images\Averaged Images\Sagittal\	SN	456	null
35	\BIRN\oasis\Images\Atlas Registered\Coronal\	SN	123	null
53	\BIRN\oasis\Images\Averaged Images\Coronal\	null	AGE:32	null
54	\BIRN\oasis\Images\Averaged Images\Sagittal\	null	null	null
37	\BIRN\oasis\Demographics\Hand Orientation\Right Handed\	null	null	null
37	\BIRN\oasis\Derived Anatomic Volumes\Normalized Whole Brain Volume\	null	null	null
37	\BIRN\oasis\Demographics\Hand Orientation\Left Handed\	null	null	null
56	\BIRN\oasis\Images\Averaged Images\Coronal\	null	null	null
57	\BIRN\oasis\Images\Atlas Registered\Coronal\	null	null	null
58	\BIRN\oasis\Images\Atlas Registered\Coronal\	null	null	null
59	\BIRN\oasis\Images\Atlas Registered\Coronal\	LN	age=20:gender=fem	null
59	\BIRN\oasis\Images\Atlas Registered\Sagittal\	null	age=20:gender=male	null
60	\BIRN\oasis\Clinical Measures\MMSE score\No Alzheimers disease\29\	null	age:50	null
60	\BIRN\oasis\Images\Atlas Registered\Coronal\	LN	age:55	null
61	\BIRN\oasis\Clinical Measures\Clinical Dementia Rating (CDR)\mild dementia\	null	age:50	null
61	\BIRN\oasis\Demographics\Education\Beyond college\	null	gender:male	null
39	\BIRN\oasis\Clinical Measures\Clinical Dementia Rating (CDR)\nondemented\	null	0-1	null
39	\BIRN\oasis\Derived Anatomic Volumes\Estimated Total Intracranial Volume\	null	100-200	null
39	\BIRN\oasis\Clinical Measures\Clinical Dementia Rating (CDR)\moderate dementia\	null	null	null
39	\BIRN\oasis\Images\Raw Images\First Sample\	null	null	null
39	\BIRN\oasis\Demographics\Socioeconomic Status\Status 1\	null	null	null
39	\BIRN\oasis\Demographics\Education\Less than high school grad.\	null	null	null
39	\BIRN\oasis\Demographics\Socioeconomic Status\Status 5\	null	null	null
39	\BIRN\oasis\Clinical Measures\MMSE score\Moderate Alzheimers disease\13\	null	null	null
39	\BIRN\oasis\Clinical Measures\MMSE score\No Alzheimers disease\30\	null	0	null
39	\BIRN\oasis\Demographics\Education\High school grad.\	null	null	null
62	\BIRN\oasis\Clinical Measures\MMSE score\No Alzheimers disease\29\	null	test	null
62	\BIRN\oasis\Images\Atlas Registered\Coronal\	LN	test	null
42	\BIRN\oasis\Images\Masked Atlas\Transverse\	null	age:70;gender:female	null
42	\BIRN\oasis\Images\Atlas Registered\Sagittal\	null	age:50;gender:female	null
42	\BIRN\oasis\Images\Atlas Registered\Coronal\	LN	age:60;gender:female	null
